ACC,metoncholaimus.1,sphaerolaimus.1,sphaerolaimus.2,oncholaimidae.1,oncholaimidae.2,thoracostoma.10,thoracostoma.11,epacanthion.1,epacanthion.2,thoracostoma.1,pontonema.1,oncholaimidae.3,pontonema.2,thoracostoma.2,oncholaimidae.4,thoracostoma.3,pontonema.3,thoracostoma.4,thoracostoma.5,oncholaimidae.5,oncholaimidae.6,oncholaimidae.7,oncholaimidae.8,sphaerolaimus.3,thoracostoma.6,thoracostoma.7,oncholaimidae.9,epacanthion.3,enoplolaimus.1,enoplolaimus.2,thoracostoma.8,thoracostoma.9,adoncholaimus.1,adoncholaimus.2,adoncholaimus.3,adoncholaimus.4,adoncholaimus.5,adoncholaimus.6,adoncholaimus.7,adoncholaimus.8,adoncholaimus.9,adoncholaimus.10,adoncholaimus.11
P_SMS1,0.00068781,6.59E-05,0.002006372,0.000268682,4.93E-05,5.08E-06,8.12E-06,0.000150734,0,0,0,0,0,0,0.001102262,0,0,0,0,0.000579079,0,0,0,0,0,0,0,0,0,0,0,1.24E-05,0,0,1.81E-05,0,0,0,3.13E-05,0,0,0,0
P_SR411,0.051414103,0.006432916,0.032226867,0.053686608,0.015424504,1.31E-05,1.39E-05,0.00019369,0,0,0.000190968,0,0,0,7.98E-05,0,0,0,0,0.000470879,0,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E-06
P_SR414,0.1119599,0.00072213,0.008370423,0.027024828,0.010565263,1.67E-05,0,4.13E-05,0.001247016,0,0,0,0,0,6.43E-05,0,0,0,0,0.000748898,0,0,0,3.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66E-06,0,0,0
P_SR415,0.018451654,0.003743359,0.026073991,0.026542721,0.0123784,6.71E-06,7.16E-06,4.98E-05,0,0,3.02E-05,0,0,0,7.52E-05,0,0,0,0,0.000292967,0,0,0,5.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-06
P_SR416,0.228381072,0.000729795,0.005557182,0.01436281,0.004765234,5.63E-06,6.00E-06,0.000125249,0,0,1.27E-05,0,0,0,9.94E-05,0,0,0,0,0.001097678,0,0,0,3.04E-05,0,0,0,0,0,0,0,0,0,0,6.67E-06,0,0,0,0,0,0,0,0
P_SR417,0.04930368,0.008204228,0.031165607,0.051732748,0.01389291,0,3.44E-06,0.000167623,0,0,7.99E-05,0,0,0,7.89E-05,0,0,0,0,0.00033923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64E-06
P_SR418,0.101562773,0.000555731,0.008261955,0.016919753,0.007189021,1.22E-05,3.26E-06,4.54E-05,0,0,0,0,0,0,5.82E-05,0,0,0,0,0.000910569,0,0,0,3.31E-05,0,0,0,0,0,0,0,0,0,0,0,1.04E-05,0,0,0,0,0,0,0
P_SR432,0.033421047,0.008403213,0.060650839,0.05832119,0.023614841,1.98E-05,1.41E-05,0.000196215,0,0,2.98E-05,0,0,0,9.43E-05,0,0,0,0,0.000450517,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44E-06,0,0
P_SR433,0.071367089,0.00834477,0.031735138,0.056845869,0.015548113,1.33E-05,2.48E-05,0.000123037,7.62E-05,0,6.72E-05,0,0,0,0.000137423,0,0,0,0,0.000729692,0,0,0,1.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12E-06,0,2.71E-06
P_SR435,0.053716891,0.006260879,0.02777452,0.05271401,0.013613192,1.96E-05,2.43E-05,0.000871224,0,0,0.000227592,0,0,0,0.000132936,0,0,0,0,0.00056655,0,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,2.32E-05,0,0,0,0,0,2.08E-06,0,8.01E-06
P_SR436,0.017965576,0.004840028,0.029633269,0.031138377,0.0113439,0,1.45E-05,0.000100686,0,0,1.53E-05,0,0,0,5.99E-05,0,0,0,0,0.000268952,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,4.98E-06,1.61E-05,0,0,0,0,3.25E-06,0,0,2.78E-06
P_SR437,0.030784552,0.005717244,0.046833318,0.05865326,0.023127288,6.68E-06,3.56E-06,0.000148668,0,0,6.01E-05,0,0,0,0.000138375,1.93E-05,0.00016061,0,0,0.000547344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,4.26E-06,0,5.47E-06
P_SR442,0.044498685,0.00504846,0.037429039,0.044412572,0.01882661,1.32E-05,0,0.000171328,0,0,8.91E-05,0,0,0,6.95E-05,0,0,0,0,0.000355543,0,0,0,5.35E-05,0,0,0,0,0,0,0,0,0,0,7.82E-06,0,0,0,0,0,2.10E-06,0,0
P_SR445,0.293950199,0.000591645,0.007571253,0.023076708,0.005617656,5.70E-06,9.12E-06,6.35E-05,0,0,0,0,0,0,0.000160744,0,0,0,0,0.000645067,0,0,0,1.54E-05,0,0,0,0,0,0,0,0,0,0,6.76E-06,0,0,0,0,0,5.46E-06,0,2.33E-06
P_SR448,0.099068516,0.000619901,0.008063969,0.022124415,0.009263845,1.79E-05,0,0.000177315,0,0,0,0,0,0,0.000103488,0,0,0,0,0.001085657,0,0,0,8.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_SR451,0.05304969,0.009296394,0.034739249,0.063812604,0.013801603,6.64E-06,7.08E-06,9.85E-05,0,0,0.000283835,0,0,0,8.34E-05,0,0,0,0,0.000422695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_SR454,0.116012376,0.000192447,0.003012272,0.008242172,0.001998306,7.42E-06,3.96E-06,0.000110094,0,1.11E-05,0,0,0,0,0.000115911,0.000128906,0,0,0,0.000769905,0,0,0,0,0,0,0,0,0,1.87E-05,9.35E-05,0,0,0,0,0,0,0,0,0,0,0,0
P_SR455,0.043446193,0.007344271,0.026128069,0.054859958,0.015147803,2.05E-05,3.27E-05,0.000253101,7.84E-05,0,6.14E-05,0,0,0,0.000127444,0,0,0,0,0.002017617,0,0,0,1.84E-05,0,0,0,0,0,0,0,0,0,0,1.62E-05,0,0,0,0,0,2.18E-06,0,5.58E-06
P_SR456,0.267935371,0.00052497,0.008883321,0.019959876,0.005850999,1.74E-05,6.17E-06,0.000107258,0,8.66E-06,0,0,1.37E-05,0,5.30E-05,0,0,0,0,0.000512494,0,0,0,7.81E-05,0,0,0,0,0,0,0,0,0,0,1.37E-05,0,0,0,0,0,0,0,2.37E-06
P_SW010604,0.00583147,9.44E-05,0.00079901,9.63E-05,0.000159016,1.46E-05,3.88E-06,0.003106439,0.000543596,0,8.19E-06,1.28E-05,0,0,0.000642985,4.22E-05,0,1.05E-05,0,0.004228815,0,0,0,1.97E-05,0,0,0,0,5.05E-05,0,1.53E-05,3.56E-05,4.30E-05,5.35E-06,0.00020724,4.34E-05,1.91E-05,1.63E-05,0,1.39E-05,1.39E-05,1.83E-05,2.68E-05
P_Scap03,1.414421792,0.026207788,0.16869384,0.023513894,0.030788554,1.00E-04,7.99E-05,0.001350946,0.00016402,0,2.41E-05,0,1.70E-05,0,0.000705705,0,0,0,0,0.007765862,0,0,0,0.000540107,0,0,0,0,0,9.02E-06,0,0,0,0,4.23E-05,0,0,0,0,3.42E-06,1.59E-05,0,3.21E-05
P_SiA1,0.612963826,0.028297364,0.15796832,0.039304712,0.037429072,0.000137748,0.000166179,0.004114289,0.000749279,0,0,0,1.72E-05,3.21E-05,0.00097244,2.10E-05,0,0,0,0.044028129,0,0,0,0.000626625,0,0,0,0.000221638,0,0,3.04E-05,0,0,0,3.44E-05,1.23E-05,0,0,0,6.94E-06,1.16E-05,0,2.37E-05
P_TB25,0.058569861,0.006338772,0.028765749,0.029968421,0.010796683,1.90E-05,2.71E-05,0.002543092,7.29E-05,0,7.14E-05,0,0,0,0.000234978,0,0.000101754,0,0,0.002948484,0,0,0,0,0,0,0,0.000145559,0,0,0,0,0,0,2.26E-05,0,0,0,0,0,1.21E-05,0,2.60E-06
P_UG31,0.032415588,0.001453786,0.004535693,0.001019188,0.000917978,0.000161161,7.47E-05,0.002572998,0.000442553,2.10E-05,6.31E-05,0,8.33E-06,0,0.003352569,0,0,0,0,0.009379279,0,0,0,0.000359594,1.56E-05,0,0,0.000267766,0,1.77E-05,0,1.71E-05,0,0,0.000199395,0,0,0,0,1.34E-05,1.12E-05,0,6.31E-05
P_UG32,0.030954059,0.001011407,0.004356447,0.000750074,0.000963339,0.000134722,7.94E-05,0.003208609,0.000569971,0,1.60E-05,0,2.53E-05,1.57E-05,0.00329627,0,0,0,0,0.008815533,0,0,0,0.000229822,0,0,0,0.000108385,0,3.58E-05,0,1.74E-05,0,0,0.000100887,3.62E-05,0,0,0,0,1.58E-05,1.18E-05,4.06E-05
P_XMcav11Q,0.00218112,0,0.000236098,0.000142276,2.61E-05,5.38E-06,2.87E-06,3.99E-05,0,8.06E-06,0,0,0,0,9.50E-05,0,0,0,0,0.00037851,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90E-06,1.28E-05,0,0,0,0,0,0,0,6.60E-06
P_XMcav2N,0.000893895,0.001543262,0.000965099,0.000136843,0.000188305,0,0,0.000518202,5.94E-05,0,0.000157205,9.08E-06,6.15E-06,0,6.50E-05,0,0.000290281,0,0,0.000357144,0,0,0,0.000447239,0,0,0,7.91E-05,0.001722634,0.001208609,0,0,0,0,0,8.81E-06,0,0,1.60E-05,0,3.30E-06,8.65E-06,6.35E-06
P_XMcav2N2,0.002542209,0.000402821,0.000681637,0.000205382,0.00015073,1.04E-05,5.52E-06,0.000403277,2.97E-05,0,0,0,0,0,0.000117794,0,0,0,0,0.000684726,0,0,0,5.59E-05,0,0,0,0,0.000323179,0.000124198,0,0,0,0,0,0,0,0,0,0,1.65E-06,0,0
P_agarivorans_DSM14585,2.893150559,0.001262999,0.007622664,0.005924369,0.002205452,0.000123372,7.27E-05,0.001083797,0.000671083,0,7.31E-06,0,0,0,0.000895208,0,0,0,0,0.004400747,0,0,0,0.000157846,0,0,0,4.96E-05,0,1.64E-05,0.000149922,0,0,0,4.62E-05,5.53E-06,0,0,0,0,4.14E-06,0,2.66E-05
P_agarivorans_NW4327,3.220724291,0.000341499,0.002167018,0.002002346,0.001277844,2.63E-05,7.37E-05,0.000439568,7.56E-05,0,7.41E-06,0,2.35E-05,0,0.0001878,0,0,0,0,0.001547975,0,0,0,0,0,0,0,0,0,0.000141313,0,0.000241675,0,0,7.81E-06,0,0,0,0,3.15E-06,2.10E-06,1.10E-05,0
P_agarivorans_S816,2.410168943,0.014791017,0.012075278,0.03360533,0.011263389,0.001200675,0.224640603,0.007793569,0.005093841,0.058457861,0.010297884,0.001557507,0.013459417,0.00073807,0.128390641,0.034299315,0.008018657,0.000259871,0.002988098,0.02394071,0.000598899,0.003278524,0.02341188,0.013098284,0.004322394,0.024536594,0.00032706,0.004843177,0.003469789,0.007326954,0.002884235,0.024672878,0.002774021,0.012190977,0.054572433,0.000766885,0.003039959,0.000403449,0.0004734,0.000437162,0.001306129,0.003811401,0.000286504
P_aliena_EH1,0.032657719,0.007912409,0.011486401,0.011041033,0.005189043,0.000244073,6.16E-05,0.001215008,0.000516303,9.62E-06,5.78E-05,0,0,0,0.000761197,0,0,0,0,0.003386389,0,0,0,0.00012144,0,0,0,0,0,0,0,7.86E-06,0,0,9.14E-05,1.64E-05,0,0,0,0,1.84E-05,1.07E-05,1.05E-05
P_aliena_SW19,0.025653053,0.016353152,0.013764007,0.013983226,0.010820017,4.60E-05,1.40E-05,0.000365439,0.000188565,0,1.48E-05,0,0,0,0.000220812,0,0,0,0,0.001225503,0,0,0,5.32E-05,0,0,0,0,0,0,0,0,0,0,1.56E-05,0,0,0,0,0,4.19E-06,0,0
P_amylolytica_JW1,0.004610567,0,0.000933399,0.000401772,0.000221145,0.000157998,6.48E-05,0.000676197,0.000139566,0,1.37E-05,0,7.22E-06,1.34E-05,0.000924469,0,4.87E-05,8.77E-06,0,0.002641058,0,0,0,8.21E-05,0,0,0,0,0,0,0,0,0,0,2.88E-05,5.18E-06,0,0,0,5.81E-06,9.69E-06,0,1.24E-05
P_arctica_A3712,0.050054147,0.00113461,0.011656787,0.015371381,0.003821001,8.75E-05,3.66E-05,0.001599527,0.000179424,0,1.41E-05,0,1.49E-05,0,0.000819204,0,0,0,0,0.003353558,0,0,0,0.000101286,0,0,0,0,0,0,1.31E-05,3.06E-05,0,0,7.41E-05,5.32E-06,0,0,0,2.99E-06,1.99E-05,5.22E-06,2.81E-05
P_arctica_NECBIFX0059,0.017321291,0.00094693,0.006555093,0.010182732,0.003382224,1.33E-05,2.12E-05,9.85E-05,0,9.94E-06,0.000104579,0,0,0,0.000112715,0,0,0,1.64E-05,0.000517325,0,0,0,0,2.22E-05,0,0,0,0.000322302,0.000184395,0,0,0,0,7.87E-06,1.13E-05,0,0,0,0,2.12E-06,0,0
P_arctica_NECBIFX2020001,0.018535207,0.000427916,0.004923899,0.007243497,0.002353771,1.32E-05,7.04E-06,7.34E-05,7.58E-05,0,7.43E-06,0,7.84E-06,0,8.29E-05,0,0,0,0,0.000443778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_arctica_NECBIFX2020017,0.017036782,0.000951815,0.004319396,0.006088216,0.002315014,6.67E-06,3.56E-06,0.000173253,0.001915673,0,4.51E-05,0.000316301,5.55E-05,0,5.89E-05,0,0,0,8.26E-05,0.000303082,0.00023686,0,0,0.006740768,0.000646366,0,0,0.00152998,0.003887576,0.004498868,1.40E-05,0,0,0,0,0,0,0,0,1.60E-05,1.49E-05,5.57E-06,6.01E-05
P_aurantia_208,0.00789902,0.00061477,0.003987771,0.000905513,0.000613436,3.16E-05,3.65E-05,0.001582628,0.000181473,0,8.89E-05,0,0,2.33E-05,0.00138988,0,0,0,0,0.004285569,0,0,0,9.96E-05,0,0,0,4.03E-05,0,1.33E-05,6.63E-05,0,0,0,1.87E-05,0,0,0,3.25E-05,5.04E-06,0,0,8.62E-06
P_aurantia_S3788,0.003118587,0.00473897,0.006048298,0.003358127,0.001668065,0.001028232,0.000736316,0.008868356,0.00693519,0.002291605,0.004641925,0.021618461,0.004298643,0.006771495,0.040828754,0.002959078,0.02467157,0.027054346,0.01050115,0.074883447,0.02462533,0.018335872,0.019415169,0.004115713,0.015186186,0.002332297,0.087923712,0.009610209,0.00571378,0.004989476,0.01397661,0.003978973,0.025677427,0.014539439,0.02162181,0.03294795,0.043982304,0.020112843,0.013035106,0.009772439,0.010204746,0.014928093,0.010520306
P_aurantia_S3790,0.005460295,0.027091692,0.027065016,0.011678613,0.009575798,0.005944879,0.004600862,0.120192547,0.083200941,0.017617131,0.03019802,0.202833651,0.023835286,0.084137864,0.132034416,0.018799217,0.287469665,0.325136694,0.087691081,0.23503128,0.249123835,0.236950099,0.246366724,0.048977761,0.184734745,0.0191858,1.175898139,0.106047534,0.038570274,0.024063006,0.154367061,0.032949002,0.456296724,0.215637123,0.390600788,0.604811635,0.86548247,0.35930698,0.247829692,0.136258868,0.162485055,0.253344058,0.144301931
P_aurantia_S3895,0.004008902,0.013455825,0.013125889,0.005407761,0.005049795,0.00279562,0.002036869,0.08472061,0.056250737,0.011821452,0.021662823,0.1406706,0.017567994,0.057192352,0.107866096,0.013625622,0.19474308,0.217871844,0.060593831,0.194173848,0.172632907,0.163881256,0.164745305,0.035150109,0.124946618,0.014055204,0.800640861,0.072403233,0.024215719,0.018018068,0.105662005,0.022876424,0.250406747,0.130867015,0.214705263,0.415146607,0.594747376,0.194083896,0.103798258,0.092362296,0.110463844,0.172061833,0.097793432
P_bablabjr004,0.009319105,0.000252783,0.00042775,0,0.000173411,6.50E-06,0,0.000554344,0.000186547,0,0,0,0,0,0.000311123,7.53E-05,0,0,0,0.001455443,0,0,0,1.76E-05,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,1.45E-05,0,7.97E-06
P_bablabjr010,0.009462062,7.85E-05,0.000398624,0.00072065,4.41E-05,1.82E-05,0,0.000494137,3.48E-05,0,0,0,0,0,0.00090066,0,0,0,0,0.001434538,0,0,0,1.64E-05,0,0,0,9.26E-05,0,0,0,0,0,0,0,5.16E-06,0,0,0,0,0,0,0
P_bablabjr011,0.122085432,0.000388161,0.001642074,0.002216567,0.000275964,5.99E-06,4.15E-05,0.007860834,0.001099976,3.59E-05,4.72E-05,1.05E-05,0,0,0.004539588,0,9.60E-05,0,5.93E-05,0.086084118,0,0,0,0.000145533,0.000199969,0,0,0.000640581,0,1.51E-05,0,4.40E-05,0,0,3.55E-05,5.10E-06,0,0,0,2.86E-06,1.15E-05,0,2.69E-05
P_citrea_DSM8771,0.007424512,0.003802492,0.011736863,0.001077078,0.000487455,7.06E-05,2.61E-05,0.001047374,0.000311793,0,6.11E-06,0,6.45E-06,0,0.0005071,0,0,0,1.34E-05,0.002326214,0,0,0,0.000249346,0,0,0,0,0,2.06E-05,0,0,0,0,2.58E-05,9.25E-06,0,0,3.35E-05,2.60E-06,3.46E-06,0,2.44E-05
P_citrea_S2231,0.006556979,0.012626848,0.016146381,0.005194239,0.002912728,0.002124539,0.001504111,0.027642275,0.017725899,0.004292625,0.008080699,0.048789001,0.00639708,0.019761119,0.042194805,0.004965746,0.070544137,0.076750125,0.021155589,0.082022929,0.059135816,0.056889202,0.056697994,0.010131881,0.043033864,0.005388318,0.273670019,0.023975639,0.008019892,0.006629043,0.037556383,0.008265663,0.124939941,0.057981161,0.101614576,0.153784869,0.195730142,0.089105453,0.056849255,0.0361167,0.044946438,0.061289369,0.039060427
P_citrea_S2233,0.018738233,0.072727346,0.071322491,0.080683702,0.114084596,0.005082036,0.00353917,0.024585118,0.001750136,0.001668492,0.011324657,0.013203028,0.012348242,0.020922904,0.02225006,0.007252642,0.042327107,0.023182386,0.016377059,0.002494988,0.038522476,0.021884186,0.005790355,0.027258707,0.002943304,0.010273202,0.014673594,0.006861785,0.012722872,0.006395371,0.012086324,0.009208666,0.017220291,0.006728062,0.011282616,0.007711942,0.013470438,0.004152758,0.009525125,0.007630068,0.006452751,0.010421238,0.005386451
P_distincta_16SW7,0.071107517,0.00388475,0.023222014,0.029451854,0.00922733,0.000117227,3.82E-05,0.00108703,7.48E-05,0,2.93E-05,0,1.55E-05,1.44E-05,0.000782879,0,0,0,0,0.002633244,0,0,0,8.80E-05,0,0,0,0,0,0,0,7.97E-06,0,0,2.32E-05,1.11E-05,0,0,0,0,4.15E-06,0,1.07E-05
P_distincta_22A13,0.063461717,0.003223627,0.022040706,0.029762481,0.009535794,0,0.000623189,9.97E-05,7.72E-05,1.01E-05,7.56E-05,0,0,0,0.000182524,0,0.000107692,0,0,0.000373984,0,0,0,0,0,0,0,0,0,0,0,0,9.91E-06,4.93E-05,0.000191195,0,0,0,0,0,1.29E-05,1.68E-05,2.75E-06
P_distincta_ATCC700518,0.049934732,0.003377073,0.016000726,0.017218355,0.005860197,5.21E-05,3.82E-05,0.000410538,0.000186914,0,5.13E-05,0,0,0,0.000333844,0,0,0,0,0.001351034,0,0,0,0.000140685,0,0,0,0,0,0,0,0,0,9.56E-06,1.54E-05,0,0,0,0,0,2.08E-06,0,2.66E-06
P_distincta_KMM3548,0.071742059,0.009739006,0.027866097,0.037015794,0.01144611,2.73E-05,2.55E-05,0.002101958,0.001489695,0,0.000268895,0.000239733,0.000251519,0,0.00018548,0,0.000492462,0,8.45E-05,0.001562734,0.000213844,0,0,0.005846006,0.004637151,0,0,0.001669847,0.007576731,0.008965151,0.000286625,1.67E-05,0,0,2.43E-05,0,0,0,0,6.53E-06,8.71E-06,5.70E-06,6.14E-05
P_distincta_LMG14908,0.043687715,0.002132927,0.013498603,0.017660918,0.005953916,0,0,0.000170828,3.78E-05,0,0,0,0,0,5.59E-05,0,0,0,0,0.000442398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38E-06
P_donghaensis_HJ51,0.094708641,0.000242517,0.001778304,0.001154066,0.000862093,9.97E-05,0.000312375,0.00369969,0.001109622,3.74E-05,7.01E-06,3.28E-05,5.93E-05,0,0.002246069,7.22E-05,5.00E-05,9.00E-06,0,0.013294326,0,0,0,0.00020206,1.39E-05,0,0,0.000285876,0,2.36E-05,2.62E-05,7.63E-06,0,0,0.000199576,1.59E-05,0,0,0,1.19E-05,1.59E-05,0,7.65E-05
P_espejiana_DSM9414,0.098682826,0.000850327,0.004316666,0.009364637,0.004740893,0.000144265,4.19E-05,0.001240452,0.000225907,9.82E-06,0,0,0,0.001480171,0.000892928,0,0,0.002024848,0.00071409,0.003985829,0,0,0,0.000106271,0,0,0,0.000100235,9.10E-05,8.28E-06,0.000935958,0,0,0,3.11E-05,5.58E-06,0,0,0,0,8.36E-06,0,1.07E-05
P_flavipulchra_ATCCBAA314,0.001827244,0.000140319,0.000237441,0,0.000183769,1.62E-05,8.65E-06,0.000441501,0.000186392,8.10E-06,1.83E-05,0,0,0,0.000560366,0,0,0,0,0.001173314,0,3.02E-05,0,4.38E-05,0,0,0,4.14E-05,0,0,1.14E-05,0,0,0,7.06E-05,0,0,0,0,0,8.63E-06,0,1.77E-05
P_flavipulchra_LMG20361,0.014952996,0.000354447,0.000419847,0.005421554,0.002201645,0.001437766,0.003872876,0.001622165,0.000125555,0.001654031,0.000110725,0,0.000253357,8.47E-05,0.002797569,0.001788547,8.76E-05,7.89E-06,1.35E-05,0.001341322,4.57E-05,0,0,0.000177191,3.04E-05,0.001504227,0,4.18E-05,0,2.07E-05,6.88E-05,0.011485008,0,1.61E-05,7.13E-05,6.05E-05,0,0,0,1.05E-05,0.000111578,0.000137003,0.000102867
P_flavipulchra_NCIMB2033,0.000282784,7.03E-05,0,0.00014344,2.63E-05,0.000819004,0.000245756,0.000100589,0,0.002827146,0,0,0,0,4.05E-05,0,0,0,0,0.00016182,0,0,0,0,4.23E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73E-06,0,0
